constituency,ldf_score,udf_score,nda_score,others_score,live_intelligence_score,analysis_predicted,last_updated
Manjeshwaram,0.3762,0.4409,0.159,0.0239,0.4409,UDF,2026-04-27T11:10:41+00:00
Kasaragod,0.3512,0.5126,0.1148,0.0214,0.5126,UDF,2026-04-27T11:10:41+00:00
Udma,0.449245,0.433943,0.10011,0.016702,0.449245,LDF,2026-04-27T11:10:41+00:00
Kanhangad,0.52,0.3702,0.0929,0.0169,0.52,LDF,2026-04-27T11:10:41+00:00
Thrikkaripur,0.491,0.3977,0.0982,0.0131,0.491,LDF,2026-04-27T11:10:41+00:00
Payyannur,0.606839,0.306469,0.072993,0.013699,0.606839,LDF,2026-04-27T11:10:41+00:00
Kalliasseri,0.584058,0.329733,0.064906,0.021302,0.584058,LDF,2026-04-27T11:10:41+00:00
Thalassery,0.5595,0.3449,0.0686,0.027,0.5595,LDF,2026-04-27T11:10:41+00:00
Dharmadom,0.59974,0.305769,0.079892,0.014599,0.59974,LDF,2026-04-27T11:10:41+00:00
Thaliparamba,0.512751,0.405641,0.061506,0.020102,0.512751,LDF,2026-04-27T11:10:41+00:00
Irikkur,0.402,0.5119,0.0687,0.0174,0.5119,UDF,2026-04-27T11:10:41+00:00
Azhikode,0.4621,0.446,0.0683,0.0236,0.4621,LDF,2026-04-27T11:10:41+00:00
Kannur,0.463,0.4503,0.0692,0.0175,0.463,LDF,2026-04-27T11:10:41+00:00
Kuthuparamba,0.452855,0.451955,0.072993,0.022198,0.452855,LDF,2026-04-27T11:10:41+00:00
Mattannur,0.615338,0.256974,0.10379,0.023898,0.615338,LDF,2026-04-27T11:10:41+00:00
Peravoor,0.4241,0.5037,0.0579,0.0143,0.5037,UDF,2026-04-27T11:10:41+00:00
Mananthavady,0.434557,0.468753,0.074493,0.022198,0.468753,UDF,2026-04-27T11:10:41+00:00
Sulthan Bathery,0.3724,0.5231,0.0797,0.0248,0.5231,UDF,2026-04-27T11:10:41+00:00
Kalpetta,0.386861,0.534747,0.056294,0.022098,0.534747,UDF,2026-04-27T11:10:41+00:00
Vatakara,0.462246,0.459846,0.067007,0.010901,0.462246,LDF,2026-04-27T11:10:41+00:00
Kuttiady,0.4215,0.4854,0.0766,0.0165,0.4854,UDF,2026-04-27T11:10:41+00:00
Nadapuram,0.4315,0.4748,0.0735,0.0202,0.4748,UDF,2026-04-27T11:10:41+00:00
Koyilandy,0.4544,0.4332,0.09,0.0224,0.4544,LDF,2026-04-27T11:10:41+00:00
Perambra,0.4862,0.4123,0.0884,0.0131,0.4862,LDF,2026-04-27T11:10:41+00:00
Balusseri,0.472753,0.420458,0.089191,0.017598,0.472753,LDF,2026-04-27T11:10:41+00:00
