constituency,ldf_score,udf_score,nda_score,others_score,recent_swing_score,analysis_predicted
Manjeshwaram,0.35942,0.4347,0.19288,0.013,0.4347,UDF
Kasaragod,0.35942,0.4347,0.19288,0.013,0.4347,UDF
Udma,0.35942,0.4347,0.19288,0.013,0.4347,UDF
Kanhangad,0.35942,0.4347,0.19288,0.013,0.4347,UDF
Thrikkaripur,0.35942,0.4347,0.19288,0.013,0.4347,UDF
Payyannur,0.4255,0.45518,0.10289,0.01643,0.45518,UDF
Kalliasseri,0.4255,0.45518,0.10289,0.01643,0.45518,UDF
Thalassery,0.4255,0.45518,0.10289,0.01643,0.45518,UDF
Dharmadom,0.4255,0.45518,0.10289,0.01643,0.45518,UDF
Thaliparamba,0.4255,0.45518,0.10289,0.01643,0.45518,UDF
Irikkur,0.4255,0.45518,0.10289,0.01643,0.45518,UDF
Azhikode,0.4255,0.45518,0.10289,0.01643,0.45518,UDF
Kannur,0.43215,0.46155,0.09386,0.01244,0.46155,UDF
Kuthuparamba,0.43215,0.46155,0.09386,0.01244,0.46155,UDF
Mattannur,0.43215,0.46155,0.09386,0.01244,0.46155,UDF
Peravoor,0.43215,0.46155,0.09386,0.01244,0.46155,UDF
Mananthavady,0.30263,0.56183,0.12128,0.01426,0.56183,UDF
Sulthan Bathery,0.30263,0.56183,0.12128,0.01426,0.56183,UDF
Kalpetta,0.30263,0.56183,0.12128,0.01426,0.56183,UDF
Vatakara,0.42015,0.46755,0.09986,0.01244,0.46755,UDF
Kuttiady,0.42015,0.46755,0.09986,0.01244,0.46755,UDF
Nadapuram,0.42015,0.46755,0.09986,0.01244,0.46755,UDF
Koyilandy,0.38431,0.45418,0.14592,0.01559,0.45418,UDF
Perambra,0.38431,0.45418,0.14592,0.01559,0.45418,UDF
Balusseri,0.38431,0.45418,0.14592,0.01559,0.45418,UDF
Elathur,0.38431,0.45418,0.14592,0.01559,0.45418,UDF
Kozhikode North,0.38431,0.45418,0.14592,0.01559,0.45418,UDF
Kozhikode South,0.38431,0.45418,0.14592,0.01559,0.45418,UDF
