front,party,seats,status
LDF,Communist Party of India (Marxist),80,announced
LDF,Communist Party of India,21,announced
LDF,Kerala Congress (Mani),12,announced
LDF,Nationalist Congress Party (Sharadchandra Pawar),3,announced
LDF,Rashtriya Janata Dal,3,announced
LDF,Indian Socialist Janata Dal,1,announced
LDF,Indian National League,1,announced
LDF,Congress (Secular),1,announced
LDF,Kerala Congress (B),1,announced
LDF,Revolutionary Socialist Party (Leninist),1,announced
LDF,Independents,16,announced
