ac_no,constituency,district,region_5way,reservation,2011 Assembly Actual Winner,2014 Lok Sabha AC/Segment Actual Winner,Historical Projection [2011-2014],2016 Assembly Actual Winner,2021 Assembly Actual Winner,Long-Term Trend [2014-2021],2021 Assembly Actual Winner For Swing,2024 Lok Sabha Actual Winner,2024 UDF Vote Share (%),2024 LDF Vote Share (%),2024 NDA Vote Share (%),Recent Swing [2021-2024]
1,Manjeshwaram,Kasaragod,North,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,44.1,35.06,19.84,Stable UDF
2,Kasaragod,Kasaragod,North,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,44.1,35.06,19.84,Stable UDF
3,Udma,Kasaragod,North,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,44.1,35.06,19.84,Shift LDF to UDF
4,Kanhangad,Kasaragod,North,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,44.1,35.06,19.84,Shift LDF to UDF
5,Thrikkaripur,Kasaragod,North,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,44.1,35.06,19.84,Shift LDF to UDF
6,Payyannur,Kannur,North,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,48.74,38.5,11.27,Shift LDF to UDF
7,Kalliasseri,Kannur,North,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,48.74,38.5,11.27,Shift LDF to UDF
8,Thalassery,Kannur,North,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,48.74,38.5,11.27,Shift LDF to UDF
9,Dharmadom,Kannur,North,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,48.74,38.5,11.27,Shift LDF to UDF
10,Thaliparamba,Kannur,North,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,48.74,38.5,11.27,Shift LDF to UDF
11,Irikkur,Kannur,North,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,48.74,38.5,11.27,Stable UDF
12,Azhikode,Kannur,North,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,48.74,38.5,11.27,Shift LDF to UDF
13,Kannur,Kannur,North,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,49.65,39.45,9.98,Shift LDF to UDF
14,Kuthuparamba,Kannur,North,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,49.65,39.45,9.98,Shift LDF to UDF
15,Mattannur,Kannur,North,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,49.65,39.45,9.98,Shift LDF to UDF
16,Peravoor,Kannur,North,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,49.65,39.45,9.98,Stable UDF
17,Mananthavady,Wayanad,North,Reserved,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,59.69,26.09,13.04,Shift LDF to UDF
