district,population,density,literacy,urban_pct,hindu_pct,muslim_pct,christian_pct,sc_st_pct,youth_pct,women_pct
Thiruvananthapuram,3301427,1509,92.66,53.7,66.5,13.7,19.0,11.3,28.5,51.8
Kollam,2635375,1056,94.09,37.9,64.5,17.6,17.3,12.1,27.8,52.1
Pathanamthitta,1197412,452,96.55,10.4,56.9,8.0,34.9,10.0,25.2,52.8
Alappuzha,2127789,1501,96.26,53.9,61.0,15.0,23.5,9.8,26.5,52.3
Kottayam,1974551,896,97.21,28.3,49.8,6.4,43.5,6.5,26.0,51.5
Idukki,1108974,254,91.99,4.6,52.0,10.0,37.5,15.0,27.5,50.2
Ernakulam,3282388,1069,95.89,68.1,52.5,15.5,31.5,8.0,29.0,51.2
Thrissur,3121200,1026,95.08,40.5,58.0,14.5,27.0,10.0,27.2,52.0
Palakkad,2809934,627,88.49,24.8,62.5,28.0,6.5,15.0,28.8,51.5
Malappuram,4112920,1157,93.57,19.8,27.5,70.2,2.0,7.0,32.5,52.5
Kozhikode,3089543,1318,96.08,50.3,56.2,39.2,4.3,5.0,28.0,52.2
Wayanad,817420,383,89.03,3.9,49.5,28.7,21.3,18.5,30.0,50.8
Kannur,2523003,852,95.41,35.3,59.0,32.0,8.5,3.8,27.5,52.4
Kasaragod,1307375,654,89.85,29.6,58.5,36.5,4.5,6.0,29.5,51.0
