front,party,seats,status,front_total
LDF,Communist Party of India (Marxist),80,announced,140
LDF,Communist Party of India,21,announced,140
LDF,Kerala Congress (Mani),12,announced,140
LDF,Nationalist Congress Party (Sharadchandra Pawar),3,announced,140
LDF,Rashtriya Janata Dal,3,announced,140
LDF,Indian Socialist Janata Dal,1,announced,140
LDF,Indian National League,1,announced,140
LDF,Congress (Secular),1,announced,140
LDF,Kerala Congress (B),1,announced,140
LDF,Revolutionary Socialist Party (Leninist),1,announced,140
LDF,Independents,16,announced,140
UDF,Indian National Congress,92,announced,140
UDF,Indian Union Muslim League,26,announced,140
UDF,Kerala Congress,8,announced,140
UDF,Revolutionary Socialist Party,4,announced,140
UDF,Kerala Congress (Jacob),1,announced,140
UDF,Revolutionary Marxist Party of India,1,announced,140
UDF,Communist Marxist Party,1,announced,140
UDF,Independents,7,announced,140
NDA,Bharatiya Janata Party,98,announced,140
NDA,Bharath Dharma Jana Sena,22,announced,140
NDA,Twenty20 Party,19,announced,140
NDA,Independent,1,announced,140
